tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
modealwa_buf0,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,35122,16382.0,-0.34472,-0.04763867993053206,-0.18967748025279563,-0.26894353276482885,-0.4920413292376431,0.17487614600535278,1.1121367782648333,0.5623682979604454,-1.4908366256095742,0.1866095479180865,2371,0,0,0
modealwa_buf2,rth,1,fixed,2.0,0.01,always_in,1,2.0,0.0,False,both,1,32239,20349.0,-0.18603999999999998,-0.023489728215978167,-0.10257826000751481,-0.14591994483164203,-0.4363314035622282,0.18235677285275598,1.1093507533206242,0.4501616546348835,-1.5882352941162876,0.19222090360539557,70,0,0,0
modealwa_buf4,rth,1,fixed,2.0,0.01,always_in,1,4.0,0.0,False,both,1,29316,25153.0,0.006119999999999903,0.0007048064859345171,0.003396810107877218,0.0048619467722510286,-0.38197498710042016,0.19153363351071087,1.1084244017153133,0.35480311442817414,-1.6007938370562214,0.19562813642936122,70,0,0,0
modefirs_buf0,rth,1,fixed,2.0,0.01,first_only,1,0.0,0.0,False,both,1,2233,29123.5,0.1649400000000001,0.017785963897598567,0.3295872204961374,0.9358028033816543,-0.06619555306165392,0.31751007613076576,1.217582389745928,0.9621478839249739,-1.2001814333233447,0.646894464171372,70,0,0,0
modefirs_buf2,rth,1,fixed,2.0,0.01,first_only,1,2.0,0.0,False,both,1,2233,29434.5,0.1773800000000001,0.019035135493304933,0.3509417723867584,0.9981928980335151,-0.056918804687636444,0.31706224809673084,1.2219050349667784,0.9522520500744421,-1.3333333333333333,0.6242907701814505,70,0,0,0
modefirs_buf4,rth,1,fixed,2.0,0.01,first_only,1,4.0,0.0,False,both,1,2233,30945.0,0.2378,0.024941054650504002,0.46125598296416936,1.3307588084400477,-0.05397732045359093,0.3148231079265562,1.254837406831728,1.275830304644529,-1.3977272727275039,0.5306886946498895,70,0,0,0
delay1,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,35122,16382.0,-0.34472,-0.04763867993053206,-0.18967748025279563,-0.26894353276482885,-0.4920413292376431,0.17487614600535278,1.1121367782648333,0.5623682979604454,-1.4908366256095742,0.1866095479180865,2371,0,0,0
delay3,rth,1,fixed,2.0,0.01,always_in,3,0.0,0.0,False,both,1,33628,21014.0,-0.15944000000000003,-0.019856844647648697,-0.08965291154457793,-0.1278131246305407,-0.3873188543608079,0.16902581182348042,1.120464837766593,0.5376281086362491,-1.4732895365792658,0.18176070807649755,2295,0,0,0
delay6,rth,1,fixed,2.0,0.01,always_in,6,0.0,0.0,False,both,1,32239,21884.0,-0.12463999999999997,-0.015254597650884771,-0.0712905101203149,-0.10227071708301248,-0.383625305997552,0.16380781041595582,1.1217021884259755,0.5718890061670848,-1.4716755747494679,0.18741240507154264,2239,0,0,0
midday_flat,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,True,both,1,27892,15241.5,-0.39034,-0.05554161341367292,-0.25551582285750635,-0.3575129912198293,-0.6194134266110588,0.23261150150580812,1.0941376552666404,0.43653765486763896,-1.3210774330959354,0.14134555844042976,1531,0,0,0
long_only,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,long_only,1,17660,24918.0,-0.0032799999999999496,-0.0003793112426794254,-0.0026526253669609916,-0.004290115536050882,-0.24554203451841247,0.17865232163080408,1.1285113319949016,0.7217577124237606,-1.4992993201422775,0.2506810829218457,1192,0,0,0
minstop0.05atr,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.05,False,both,1,15577,36677.5,0.46710000000000007,0.045254561150606554,0.2767517340187505,0.4068924082447119,-0.21688934456868839,0.24889259806124414,1.0953900152444966,0.11486674942732322,-0.9783250651567147,0.2599955640124675,92954,0,0,0
minstop0.1atr,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.1,False,both,1,9225,52689.0,1.1075599999999999,0.08990527122648917,0.7084498710740423,1.1048721305259122,-0.09652163991117586,0.2972357723577236,1.131642355290845,0.10763469385927726,-0.7549305916133561,0.23746721862199008,186684,0,0,0
