tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
first_rth_ms0_d1,rth,1,fixed,2.0,0.01,first_only,1,0.0,0.0,False,both,1,2233,29123.5,0.1649400000000001,0.017785963897598567,0.3295872204961374,0.9358028033816543,-0.06619555306165392,0.31751007613076576,1.217582389745928,0.9621478839249739,-1.2001814333233447,0.646894464171372,70,0,0,0
first_rth_ms0_d3,rth,1,fixed,2.0,0.01,first_only,3,0.0,0.0,False,both,1,2233,33242.0,0.32968,0.03345078939654034,0.6013220821771664,1.7781830330632378,-0.09388161421242056,0.3072100313479624,1.29266270554097,0.2563110680905228,-0.8940681695958496,0.42457507082152973,37,0,0,0
first_rth_ms0.05_d1,rth,1,fixed,2.0,0.01,first_only,1,0.0,0.05,False,both,1,2225,33323.5,0.33294,0.03374305712256387,0.5440432607827436,1.5033962649351902,-0.08602385719333075,0.31235955056179776,1.2356190915379295,0.2075061327315082,-0.6692307692307318,0.4371550475594003,11637,0,0,0
first_rth_ms0.05_d3,rth,1,fixed,2.0,0.01,first_only,3,0.0,0.05,False,both,1,2225,31780.0,0.2712000000000001,0.028097215999929093,0.4482917385927857,1.2179275855722909,-0.10933241331723305,0.3042696629213483,1.2027313673987021,0.17492774527921456,-0.6811422371789014,0.4822350845948353,8857,0,0,0
first_rth_ms0.1_d1,rth,1,fixed,2.0,0.01,first_only,1,0.0,0.1,False,both,1,2202,36674.0,0.46696000000000004,0.04524304254914724,0.6513534540455564,1.6976614474350955,-0.07499824868651489,0.30926430517711173,1.2270807734135558,0.15889901527532177,-0.5473009598017782,0.35231372061201643,39663,0,0,0
first_rth_ms0.1_d3,rth,1,fixed,2.0,0.01,first_only,3,0.0,0.1,False,both,1,2202,35766.0,0.4306399999999999,0.042221421665509684,0.6030038553774515,1.5580810555805715,-0.08070376197968818,0.30517711171662126,1.2124724255050947,0.14830322758047884,-0.5548829840827267,0.3677323665128543,35457,0,0,0
first_eth_ms0_d1,eth,1,fixed,2.0,0.01,first_only,1,0.0,0.0,False,both,1,2233,45753.5,0.8301400000000001,0.07228588635135136,0.7339173564245417,1.8701523326233722,-0.16800253319875716,0.264666368114644,1.2403425091607383,0.042314246032348145,-0.8464241256694403,0.3770495053430877,17,0,0,0
first_eth_ms0_d3,eth,1,fixed,2.0,0.01,first_only,3,0.0,0.0,False,both,1,2233,44852.5,0.7941,0.06982599944035717,0.7192744324726832,1.8026163773970756,-0.13712200208550573,0.2561576354679803,1.2332687456235432,0.29776890041332904,-0.845933497583303,0.38433702736599706,13,0,0,0
first_eth_ms0.05_d1,eth,1,fixed,2.0,0.01,first_only,1,0.0,0.05,False,both,1,2231,45023.0,0.8009200000000001,0.07029482675220589,0.6977700488247466,1.7664076298411509,-0.15996754339092403,0.2675930076199014,1.221008687803227,0.16230117913649705,-0.7897410145428404,0.3883602205431897,2566,0,0,0
first_eth_ms0.05_d3,eth,1,fixed,2.0,0.01,first_only,3,0.0,0.05,False,both,1,2231,46024.0,0.8409599999999999,0.07301603576597704,0.7420643496566434,1.8700855398866385,-0.13039361307092462,0.2675930076199014,1.2321488755089587,0.17131948175405853,-0.7776826612148704,0.38224907792513535,2808,0,0,0
first_eth_ms0.1_d1,eth,1,fixed,2.0,0.01,first_only,1,0.0,0.1,False,both,1,2222,45189.0,0.8075600000000001,0.07074977396367976,0.6852256255589184,1.6971239776064175,-0.134048359701521,0.27992799279927993,1.205340880199064,0.1449630661341155,-0.7287167614566863,0.38706207120529373,11300,0,0,0
first_eth_ms0.1_d3,eth,1,fixed,2.0,0.01,first_only,3,0.0,0.1,False,both,1,2222,44324.0,0.7729600000000001,0.0683626884124493,0.6654647050399599,1.6421062400083926,-0.13557396890419887,0.27722772277227725,1.1991745752414473,0.11261051923732064,-0.7354565930619252,0.40987882867721304,11914,0,0,0
alwa_rth_ms0.05_b0,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.05,False,both,1,15577,36677.5,0.46710000000000007,0.045254561150606554,0.2767517340187505,0.4068924082447119,-0.21688934456868839,0.24889259806124414,1.0953900152444966,0.11486674942732322,-0.9783250651567147,0.2599955640124675,92954,0,0,0
alwa_rth_ms0.05_b4,rth,1,fixed,2.0,0.01,always_in,1,4.0,0.05,False,both,1,14870,36213.0,0.44852000000000003,0.0437173121662795,0.265003313098045,0.3885434347400619,-0.23647408719863316,0.25406859448554137,1.091128779230836,0.12232282911901492,-1.0272880073984147,0.2719214709545088,84534,0,0,0
alwa_rth_ms0.1_b0,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.1,False,both,1,9225,52689.0,1.1075599999999999,0.08990527122648917,0.7084498710740423,1.1048721305259122,-0.09652163991117586,0.2972357723577236,1.131642355290845,0.10763469385927726,-0.7549305916133561,0.23746721862199008,186684,0,0,0
alwa_rth_ms0.1_b4,rth,1,fixed,2.0,0.01,always_in,1,4.0,0.1,False,both,1,8990,51666.0,1.06664,0.08744039842327389,0.6829304524868733,1.0636530261747326,-0.10584181453260155,0.3004449388209121,1.1270212484476556,0.10695701898567046,-0.7702414081577775,0.2454083232540429,179477,0,0,0
alwa_eth_ms0.05_b0,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.05,False,both,1,12085,30060.0,0.2023999999999999,0.021512580776846812,0.11185754481274884,0.16639785467394727,-0.27088503666660446,0.22192800992966488,1.0690284650907962,0.0628103472285055,-1.0145188109608891,0.3883167978104687,63717,0,0,0
alwa_eth_ms0.05_b4,eth,1,fixed,2.0,0.01,always_in,1,4.0,0.05,False,both,1,11584,29739.5,0.18958000000000008,0.020248919645748265,0.10447830947738225,0.15481805571719245,-0.26712829689566636,0.22729627071823205,1.0658380536046674,0.062170239671451924,-1.0677711841181532,0.4067186240257995,57347,0,0,0
alwa_eth_ms0.1_b0,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.1,False,both,1,8062,36049.5,0.44198000000000004,0.04317206179969735,0.2511471462527572,0.38125402019445426,-0.18605184675384262,0.274621681964773,1.0726390342418057,0.07415203340557229,-0.8733763343508238,0.41422709625186305,128715,0,0,0
alwa_eth_ms0.1_b4,eth,1,fixed,2.0,0.01,always_in,1,4.0,0.1,False,both,1,7864,36069.5,0.44277999999999995,0.04323887637220314,0.2512659852380539,0.3805800099849895,-0.19498433490693093,0.2796286876907426,1.0716232054107293,0.07650304886577285,-0.8908769115359665,0.4200391827595858,122870,0,0,0
