tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
fixed1_eth,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,25223,9818.0,-0.60728,-0.10230996098822098,-0.32097865920553775,-0.4576661783760722,-0.6309713840763091,0.14137890021012567,1.0741621687555272,0.1778467615473435,-1.4870897857967185,0.32470791742286753,1630,0,0,0
paper_lev1_eth,eth,1,paper,1.0,0.01,always_in,1,0.0,0.0,False,both,1,6129,14507.5,-0.41969999999999996,-0.06090919510349835,-1.7392389132807586,-2.1593401118283815,-0.43517617286353905,0.13852178169358786,1.0306514404360239,0.12514768629413686,-1.4415981298419445,2.0107253739768556,2545,647549,0,0
paper_lev2_eth,eth,1,paper,2.0,0.01,always_in,1,0.0,0.0,False,both,1,7703,10433.0,-0.58268,-0.09598971450667937,-0.991889012117442,-1.3131926344208513,-0.6707747787939624,0.14176294950019472,1.0925834836311963,0.23766872971964012,-1.4431283215783322,0.608776072412436,2436,587244,0,0
paper_lev3_eth,eth,1,paper,3.0,0.01,always_in,1,0.0,0.0,False,both,1,6393,4421.0,-0.82316,-0.18132081902866948,-1.1362191598203717,-1.4958743977127669,-0.842385782277759,0.13890192397935242,1.0893238907506593,0.08556078294260863,-1.4415981298419445,0.8464080772862642,2501,636470,0,0
risk0.5pct_eth,eth,1,risk,2.0,0.005,always_in,1,0.0,0.0,False,both,1,4227,1360.5,-0.94558,-0.285486090110714,-0.6531338090693358,-0.9125662873864449,-0.9642072585206719,0.13744972793943697,1.202037759259189,0.07929373760162257,-1.4601523089352952,0.6439932223064753,2806,719548,32578,0
risk1pct_eth,eth,1,risk,2.0,0.01,always_in,1,0.0,0.0,False,both,1,4169,1374.0,-0.94504,-0.2846709379203023,-0.6255444575739215,-0.8309886913736624,-0.9633326216908625,0.13960182297913168,1.1791803059358694,0.1188796976139898,-1.450483058431755,0.6947254191390227,2828,717509,66051,0
risk2pct_eth,eth,1,risk,2.0,0.02,always_in,1,0.0,0.0,False,both,1,3914,1373.0,-0.94508,-0.2847310760616515,-0.6508017420218176,-0.8278001990504893,-0.9653488460130983,0.1430761369443025,1.1555857850530946,0.20106832431635985,-1.443103510635849,0.7805648367192645,2857,723369,132427,0
