tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty,win_year
wf_f2018_rth_f1_alwa_ms0.1_b0,rth,5,fixed,2.0,0.0,always_in,1,0,0.1,False,both,-1,1587,35888.5,0.43554000000000004,0.0426330069182943,1.1767790190982585,1.8060775807220526,-0.09909982642392928,0.3377441713925646,1.1693848544344203,0.12058796261945419,-0.7438786938558707,0.3592177777777778,8594,0,0,0,2021-2022
wf_f2019_rth_f1_alwa_ms0.1_b0,rth,5,fixed,2.0,0.0,always_in,1,0,0.1,False,both,-1,1629,30796.0,0.23184000000000005,0.02436995440512102,0.6185243199708408,0.9382160279138162,-0.11920947848888025,0.3241252302025783,1.103528120336861,0.0865846592106372,-0.7370154076188222,0.5579301965981887,8453,0,0,0,2022-2023
wf_f2020_rth_f1_alwa_ms0.1_b0,rth,5,fixed,2.0,0.0,always_in,1,0,0.1,False,both,-1,1568,30384.0,0.21536,0.022777985860081174,0.6349395600517398,0.9712701683673131,-0.11025826100734117,0.3335459183673469,1.1170973062122045,0.1054964641467269,-0.7502015295598893,0.6077464788732394,8976,0,0,0,2023-2024
wf_f2021_rth_f1_alwa_ms0.1_b4,rth,5,fixed,2.0,0.0,always_in,1,4,0.1,False,both,-1,2017,27466.0,0.09864000000000006,0.010922380561802392,0.15451802446296897,0.2338479198454954,-0.20055256559720203,0.3336638572136837,1.047800092658641,0.06258755072162366,-0.7726572405765813,1.6364615384615384,11727,0,0,0,2024-2026
