tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
rth_b5_s0,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,0,16391,44202.5,0.7681,0.06802409838022894,0.4309790613860007,0.6270826949428057,-0.19040412111412966,0.24122994326154598,1.0757000073374359,0.32519532316448174,-1.3565288308965135,0.3182041664910728,456,0,0,0
rth_b5_s1,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,16391,27811.5,0.11246,0.012382732899914428,0.0625557500994352,0.08944916126603977,-0.37345855451204574,0.24122994326154598,1.0757000073374359,0.32519532316448174,-1.3565288308965135,0.3182041664910728,456,0,0,0
rth_b5_s2,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,2,16391,11420.5,-0.54318,-0.0864994997552836,-0.2995284604248072,-0.42099582534775387,-0.6728105640190005,0.24122994326154598,1.0757000073374359,0.32519532316448174,-1.3565288308965135,0.3182041664910728,456,0,0,0
eth_b5_s0,eth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,0,12521,43122.0,0.72488,0.06497625607187096,0.39427866508511833,0.5687817657242283,-0.21635317154215866,0.21843303250539095,1.0721259538570898,0.24146449049614505,-1.3029335930145998,0.3678980517573345,360,0,0,0
eth_b5_s1,eth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,12521,30601.0,0.22404000000000002,0.02361883754705718,0.12083288085933927,0.17198050364573295,-0.34414723997844987,0.21843303250539095,1.0721259538570898,0.24146449049614505,-1.3029335930145998,0.3678980517573345,360,0,0,0
eth_b5_s2,eth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,2,12521,18080.0,-0.27680000000000005,-0.036730629219973054,-0.14802787754600746,-0.2079075103402167,-0.5681295790834651,0.21843303250539095,1.0721259538570898,0.24146449049614505,-1.3029335930145998,0.3678980517573345,360,0,0,0
