tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
fixed1_eth,eth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,12521,30601.0,0.22404000000000002,0.02361883754705718,0.12083288085933927,0.17198050364573295,-0.34414723997844987,0.21843303250539095,1.0721259538570898,0.24146449049614505,-1.3029335930145998,0.3678980517573345,360,0,0,0
paper_lev1_eth,eth,5,paper,1.0,0.01,always_in,1,0.0,0.0,False,both,1,4783,23669.5,-0.053220000000000045,-0.006295303009496767,-0.10929643075482903,-0.1510392335439093,-0.20006500893872908,0.21806397658373405,1.0761521352313168,0.3220799308836249,-1.26567054831921,0.5642268824113558,523,103670,0,0
paper_lev2_eth,eth,5,paper,2.0,0.01,always_in,1,0.0,0.0,False,both,1,9556,20574.0,-0.17703999999999998,-0.022248953197255394,-0.08416027181457769,-0.11867771614929355,-0.5166340238889962,0.21515278359146087,1.0705521284356054,0.2614968771242674,-1.2968693431751328,0.4126071594068582,399,41712,0,0
paper_lev3_eth,eth,5,paper,3.0,0.01,always_in,1,0.0,0.0,False,both,1,10386,15104.5,-0.39581999999999995,-0.0565258500543957,-0.11504732088012146,-0.160999591274278,-0.7237026336259584,0.21403812824956672,1.0682829151944022,0.27759936307069105,-1.305937780388437,0.38542004465898877,390,30931,0,0
risk0.5pct_eth,eth,5,risk,2.0,0.005,always_in,1,0.0,0.0,False,both,1,8129,3344.5,-0.86622,-0.20728091950883898,-0.15985203166938672,-0.2317976265671796,-0.9579535597098425,0.2037150941075163,1.1129657868671994,0.3643738941786001,-1.4522338288717274,0.5726700983744812,423,72598,7469,0
risk1pct_eth,eth,5,risk,2.0,0.01,always_in,1,0.0,0.0,False,both,1,8168,2808.0,-0.88768,-0.22312569046435482,-0.08891543405410242,-0.12630834763354842,-0.9771894623114353,0.21253672869735554,1.1096934438716373,0.47707577354422137,-1.3260298342423782,0.6077322966864872,437,63062,12967,0
risk2pct_eth,eth,5,risk,2.0,0.02,always_in,1,0.0,0.0,False,both,1,4463,2127.0,-0.91492,-0.24764821245661728,-0.11198391473217396,-0.15766566847190788,-0.9812861278033416,0.21442975576966167,1.11221286144141,0.17329773308761245,-1.2960450345380246,0.7646654116036282,522,109934,28428,0
