tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
modealwa_buf0,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,16391,27811.5,0.11246,0.012382732899914428,0.0625557500994352,0.08944916126603977,-0.37345855451204574,0.24122994326154598,1.0757000073374359,0.32519532316448174,-1.3565288308965135,0.3182041664910728,456,0,0,0
modealwa_buf2,rth,5,fixed,2.0,0.01,always_in,1,2.0,0.0,False,both,1,15760,28938.0,0.1575200000000001,0.017035250079526332,0.08801602533153323,0.12574956868733903,-0.3615703908682117,0.24568527918781727,1.075626873582316,0.25046151959479723,-1.4058623572024744,0.31117096282926276,26,0,0,0
modealwa_buf4,rth,5,fixed,2.0,0.01,always_in,1,4.0,0.0,False,both,1,15056,29387.0,0.17548000000000008,0.018845103248654516,0.0977468771977817,0.13955938695654893,-0.3411353772599624,0.25006641870350693,1.0738765882588497,0.20818073295888043,-1.4212869526435266,0.3198208643728804,26,0,0,0
modefirs_buf0,rth,5,fixed,2.0,0.01,first_only,1,0.0,0.0,False,both,1,2233,32589.0,0.30356000000000005,0.031085902243906505,0.42293109108549365,0.9816472554877536,-0.18333362304229173,0.32870577698163905,1.1730126153537035,-0.5033109562838649,-1.1764705882352942,0.4598506843633347,26,0,0,0
modefirs_buf2,rth,5,fixed,2.0,0.01,first_only,1,2.0,0.0,False,both,1,2233,33192.0,0.32767999999999997,0.03327117019156689,0.45322439836059214,1.0567327294927578,-0.1823760013635589,0.3278101209135692,1.180276153785899,-0.398264473468271,-1.2166246851385167,0.437944382998894,26,0,0,0
modefirs_buf4,rth,5,fixed,2.0,0.01,first_only,1,4.0,0.0,False,both,1,2233,33429.0,0.3371599999999999,0.03412045389657825,0.46401934624117275,1.0821584459806106,-0.16758995687524503,0.3255709807433945,1.1817887049933742,-0.47160037921833453,-1.2837193966547855,0.4298953082590151,26,0,0,0
delay1,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,16391,27811.5,0.11246,0.012382732899914428,0.0625557500994352,0.08944916126603977,-0.37345855451204574,0.24122994326154598,1.0757000073374359,0.32519532316448174,-1.3565288308965135,0.3182041664910728,456,0,0,0
delay3,rth,5,fixed,2.0,0.01,always_in,3,0.0,0.0,False,both,1,14909,31486.5,0.25946,0.026996285283463983,0.14893036746768648,0.21774935846761276,-0.31767714298203437,0.23355020457441814,1.084061544873576,0.49715896895415534,-1.3156508308787813,0.3119723450260987,430,0,0,0
delay6,rth,5,fixed,2.0,0.01,always_in,6,0.0,0.0,False,both,1,13456,31104.0,0.24415999999999993,0.025547807357849672,0.14579086109995226,0.21028209453326355,-0.3796986790720203,0.2297116527942925,1.0840500644707984,0.5043172375601804,-1.3041181136703925,0.3430457959777078,396,0,0,0
midday_flat,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,True,both,1,14126,19445.0,-0.22219999999999995,-0.02860047585825498,-0.1497670735235913,-0.206594370318952,-0.5697000614788944,0.3186323092170466,1.0547741234076904,0.06373743200236251,-1.0642208226108645,0.2850156408335903,296,0,0,0
long_only,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,long_only,1,8285,32075.5,0.28302000000000005,0.02919660044420236,0.23045187831438618,0.37963269504189734,-0.19398950131233597,0.2506940253470127,1.1014029723372365,0.1564865145310141,-1.3381975664426056,0.3561565625594722,221,0,0,0
minstop0.05atr,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.05,False,both,1,10073,39618.0,0.5847199999999999,0.054604650763733664,0.3466093064880806,0.502193161253237,-0.16050809573134164,0.2900823984910156,1.0893135389757616,0.12704677439772402,-0.9589432070043169,0.311169600736394,19400,0,0,0
minstop0.1atr,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.1,False,both,1,6756,43516.5,0.7406600000000001,0.06609679878320818,0.4823673435038791,0.7296841348456367,-0.12489479347559741,0.32889283599763175,1.1010287880866876,0.10257143030155626,-0.7371517716060213,0.332110464117895,38915,0,0,0
