tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
rth_s0,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,0,35122,51504.0,1.0601600000000002,0.08704611393912676,0.5953287257870366,0.8781174211667345,-0.15015183329290022,0.17487614600535278,1.1121367782648333,0.5623682979604454,-1.4908366256095742,0.1866095479180865,2371,0,0,0
rth_s1,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,35122,16382.0,-0.34472,-0.04763867993053206,-0.18967748025279563,-0.26894353276482885,-0.4920413292376431,0.17487614600535278,1.1121367782648333,0.5623682979604454,-1.4908366256095742,0.1866095479180865,2371,0,0,0
rth_s2,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,2,35122,-18740.0,-1.7496,-1.0,-0.9433404977975209,-1.287853409925,-1.7336935243911988,0.17487614600535278,1.1121367782648333,0.5623682979604454,-1.4908366256095742,0.1866095479180865,2371,0,0,0
eth_s0,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,0,25223,35041.0,0.40164,0.039759667956945854,0.2162582017645202,0.31741236206240186,-0.2070409821267377,0.14137890021012567,1.0741621687555272,0.1778467615473435,-1.4870897857967185,0.32470791742286753,1630,0,0,0
eth_s1,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,25223,9818.0,-0.60728,-0.10230996098822098,-0.32097865920553775,-0.4576661783760722,-0.6309713840763091,0.14137890021012567,1.0741621687555272,0.1778467615473435,-1.4870897857967185,0.32470791742286753,1630,0,0,0
eth_s2,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,2,25223,-15405.0,-1.6162,-1.0,-0.8385496700677733,-1.1627864642807875,-1.6097971301335972,0.14137890021012567,1.0741621687555272,0.1778467615473435,-1.4870897857967185,0.32470791742286753,1630,0,0,0
