tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
fixed1_rth,rth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,35122,16382.0,-0.34472,-0.04763867993053206,-0.18967748025279563,-0.26894353276482885,-0.4920413292376431,0.17487614600535278,1.1121367782648333,0.5623682979604454,-1.4908366256095742,0.1866095479180865,2371,0,0,0
paper_lev1_rth,rth,1,paper,1.0,0.01,always_in,1,0.0,0.0,False,both,1,8818,19508.5,-0.21965999999999997,-0.028234688834625654,-0.9134495792363361,-1.2657426707554982,-0.38362325804901487,0.17611703334089363,1.1691098349385793,0.4525911097389678,-1.4505629811820435,0.3057118219521209,3775,634207,0,0
paper_lev2_rth,rth,1,paper,2.0,0.01,always_in,1,0.0,0.0,False,both,1,22665,15765.5,-0.36938000000000004,-0.051847887958140104,-0.3319751737056499,-0.46053240702781484,-0.6549167463424314,0.1758658724906243,1.1464981357196122,0.5704282164397302,-1.4791171588540484,0.15043725248658718,2906,299653,0,0
paper_lev3_rth,rth,1,paper,3.0,0.01,always_in,1,0.0,0.0,False,both,1,7943,4185.0,-0.8326,-0.18649068701019167,-1.4018001919516465,-1.8294025559978395,-0.8662618838379803,0.1736119853959461,1.1281214833074327,0.3082173086757166,-1.449471416502749,0.6054530245203116,3774,656518,0,0
risk0.5pct_rth,rth,1,risk,2.0,0.005,always_in,1,0.0,0.0,False,both,1,4717,1350.0,-0.946,-0.2861250587087718,-1.0246739816807906,-1.363830239099916,-0.9668918836065775,0.17553529785880856,1.1596362930025252,0.8279979015841775,-1.4882435461491115,0.9992929492238884,4246,735922,49465,0
risk1pct_rth,rth,1,risk,2.0,0.01,always_in,1,0.0,0.0,False,both,1,4521,1358.0,-0.94568,-0.28563782882195554,-0.9634628834946802,-1.2872910102462054,-0.9649981957832878,0.17650962176509621,1.147494518423445,0.6634849861033514,-1.461920309035075,1.1465983255323358,4268,739674,99265,0
risk2pct_rth,rth,1,risk,2.0,0.02,always_in,1,0.0,0.0,False,both,1,4525,1357.5,-0.9457,-0.28566820621111866,-0.9514370061142077,-1.2476341934996422,-0.9646064998891917,0.17723756906077348,1.14199245431078,0.6599592188543402,-1.4567943444111482,1.1518424289396978,4268,739081,185902,0
