tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
modealwa_buf0,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,25223,9818.0,-0.60728,-0.10230996098822098,-0.32097865920553775,-0.4576661783760722,-0.6309713840763091,0.14137890021012567,1.0741621687555272,0.1778467615473435,-1.4870897857967185,0.32470791742286753,1630,0,0,0
modealwa_buf2,eth,1,fixed,2.0,0.01,always_in,1,2.0,0.0,False,both,1,23242,12581.5,-0.49673999999999996,-0.07622918747822749,-0.2620225104205674,-0.3734068870942256,-0.5577376833963135,0.1485242233886929,1.071681454103185,0.1756612575635756,-1.5808074352725416,0.33613186361568154,17,0,0,0
modealwa_buf4,eth,1,fixed,2.0,0.01,always_in,1,4.0,0.0,False,both,1,21045,17356.5,-0.30574,-0.041262663610821204,-0.161742131980518,-0.23137221202807987,-0.42790927835051545,0.15832739368020907,1.0729545242754637,0.19953995021415366,-1.5893428987015856,0.3324140333560739,17,0,0,0
modefirs_buf0,eth,1,fixed,2.0,0.01,first_only,1,0.0,0.0,False,both,1,2233,45753.5,0.8301400000000001,0.07228588635135136,0.7339173564245417,1.8701523326233722,-0.16800253319875716,0.264666368114644,1.2403425091607383,0.042314246032348145,-0.8464241256694403,0.3770495053430877,17,0,0,0
modefirs_buf2,eth,1,fixed,2.0,0.01,first_only,1,2.0,0.0,False,both,1,2233,44650.0,0.786,0.06926712877085928,0.6944403287682523,1.7635574036943984,-0.1798175305270241,0.2637707120465741,1.2277231929972001,0.019738168812770237,-0.8585085907261186,0.3943025377342843,17,0,0,0
modefirs_buf4,eth,1,fixed,2.0,0.01,first_only,1,4.0,0.0,False,both,1,2233,44931.0,0.79724,0.07004204794321978,0.7023023003540617,1.7780617698956902,-0.1608383304636941,0.264666368114644,1.2280615654986422,0.05449889284566884,-0.8684716400528281,0.38976103619297453,17,0,0,0
delay1,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,25223,9818.0,-0.60728,-0.10230996098822098,-0.32097865920553775,-0.4576661783760722,-0.6309713840763091,0.14137890021012567,1.0741621687555272,0.1778467615473435,-1.4870897857967185,0.32470791742286753,1630,0,0,0
delay3,eth,1,fixed,2.0,0.01,always_in,3,0.0,0.0,False,both,1,24817,11591.0,-0.53636,-0.08493495186374966,-0.2887928597148922,-0.41193837158261176,-0.5681847815963491,0.13998468791554178,1.0779979135961828,0.1976605192195206,-1.4861768545035277,0.31387163561076603,1618,0,0,0
delay6,eth,1,fixed,2.0,0.01,always_in,6,0.0,0.0,False,both,1,24276,13083.0,-0.47668,-0.07205031474842405,-0.2611845797639954,-0.37383400374473974,-0.5029916234543279,0.1401796012522656,1.0808253964051617,0.1725421192046875,-1.4833889590811795,0.3101269278012829,1588,0,0,0
midday_flat,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,True,both,1,19651,9405.0,-0.6238,-0.10675387828593619,-0.3973648013397865,-0.5483979547123202,-0.6959908440238466,0.21434023713805914,1.0551356995921861,0.05798275931731761,-1.2752619489264176,0.26274939891171384,927,0,0,0
long_only,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.0,False,long_only,1,12766,20834.5,-0.16662,-0.020827315881829622,-0.13139625027477345,-0.2188302854010801,-0.2585295807007467,0.1456995143349522,1.08906159470128,0.25010730732706765,-1.4806698516356462,0.43905178667540307,769,0,0,0
minstop0.05atr,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.05,False,both,1,12085,30060.0,0.2023999999999999,0.021512580776846812,0.11185754481274884,0.16639785467394727,-0.27088503666660446,0.22192800992966488,1.0690284650907962,0.0628103472285055,-1.0145188109608891,0.3883167978104687,63717,0,0,0
minstop0.1atr,eth,1,fixed,2.0,0.01,always_in,1,0.0,0.1,False,both,1,8062,36049.5,0.44198000000000004,0.04317206179969735,0.2511471462527572,0.38125402019445426,-0.18605184675384262,0.274621681964773,1.0726390342418057,0.07415203340557229,-0.8733763343508238,0.41422709625186305,128715,0,0,0
