tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty,win_year
wf_f2018_rth_f1_alwa_ms0.1_b0,rth,1,fixed,2.0,0.0,always_in,1,0,0.1,False,both,-1,2180,37574.5,0.50298,0.04817504310765197,1.2977598371342218,2.030317342434518,-0.11016218955904714,0.30275229357798167,1.1829243922593746,0.13811026021620457,-0.7737772060558352,0.32094245475213323,41307,0,0,0,2021-2022
wf_f2019_rth_f1_alwa_ms0.1_b4,rth,1,fixed,2.0,0.0,always_in,1,4,0.1,False,both,-1,2206,30576.0,0.2230399999999999,0.023522234536587305,0.5661876629097558,0.8629618650903733,-0.12100407637845956,0.28649138712601996,1.1015752916170891,0.07730683224667997,-0.8028514159495053,0.5426511814177012,39410,0,0,0,2022-2023
wf_f2020_rth_f1_alwa_ms0.1_b4,rth,1,fixed,2.0,0.0,always_in,1,4,0.1,False,both,-1,2129,30944.0,0.23775999999999997,0.024937229877705303,0.6734184820850188,1.017622566517261,-0.11102820474556037,0.28933771723813995,1.1248439756234856,0.0863223601628916,-0.7970253371967189,0.5223975691040972,41354,0,0,0,2023-2024
wf_f2021_eth_f1_firs_ms0_b0,eth,1,fixed,2.0,0.0,first_only,1,0,0.0,False,both,-1,686,39229.5,0.56918,0.053405233657012774,1.1253862668475851,3.1229604358389316,-0.1075889128450168,0.26384839650145775,1.3385558509195465,0.3784423473397218,-0.8356737436381189,0.6094926769861873,4,0,0,0,2024-2026
