tag,anchor,bar,sizing,paper_lev,risk_pct,mode,delay,buffer,min_stop_atr,midday,side,slip,n_trades,final_eq,tot_ret,annual,sharpe,sortino,mdd,winrate,pf,avg_r,med_r,top5_share,skip_tight,skip_afford,cap_lev,cap_qty
fixed1_rth,rth,5,fixed,2.0,0.01,always_in,1,0.0,0.0,False,both,1,16391,27811.5,0.11246,0.012382732899914428,0.0625557500994352,0.08944916126603977,-0.37345855451204574,0.24122994326154598,1.0757000073374359,0.32519532316448174,-1.3565288308965135,0.3182041664910728,456,0,0,0
paper_lev1_rth,rth,5,paper,1.0,0.01,always_in,1,0.0,0.0,False,both,1,6575,23643.0,-0.054279999999999995,-0.006423837684623623,-0.10721306541760635,-0.15137680113474664,-0.25894609693492376,0.24288973384030418,1.0931475603033702,0.4315638556637725,-1.312382992520956,0.39474328626234595,633,100712,0,0
paper_lev2_rth,rth,5,paper,2.0,0.01,always_in,1,0.0,0.0,False,both,1,14158,21572.0,-0.13712000000000002,-0.016886135967226212,-0.05199297865894907,-0.07274491378717668,-0.4786475578219784,0.23958186184489336,1.0832530768233284,0.14138459191291242,-1.3564652269224555,0.24829366468323416,486,23810,0,0
paper_lev3_rth,rth,5,paper,3.0,0.01,always_in,1,0.0,0.0,False,both,1,16391,24402.0,-0.023920000000000052,-0.0027918491287212133,-0.0034398780051714483,-0.004849380351160904,-0.7116224428288495,0.24122994326154598,1.0794940171901113,0.32519532316448174,-1.3565288308965135,0.27075813604019033,456,0,0,0
risk0.5pct_rth,rth,5,risk,2.0,0.005,always_in,1,0.0,0.0,False,both,1,12665,3199.0,-0.87204,-0.21134207833696128,-0.11525302050853005,-0.1762142762815844,-0.9522373352046225,0.23616265298065536,1.0973590408243465,0.23131589896860705,-1.4075157805886103,0.4187101884550645,514,41677,9328,0
risk1pct_rth,rth,5,risk,2.0,0.01,always_in,1,0.0,0.0,False,both,1,13103,3181.5,-0.87274,-0.21184148758519672,-0.03710672074270219,-0.05366120870771686,-0.9826611331983574,0.2390292299473403,1.0865288927185492,0.2142562992796897,-1.358952306638885,0.42054433821962045,506,34960,15641,0
risk2pct_rth,rth,5,risk,2.0,0.02,always_in,1,0.0,0.0,False,both,1,11824,3406.0,-0.86376,-0.20561118079799967,-0.07897315483518223,-0.11038354782439123,-0.9526750543625513,0.24162719891745602,1.0899536890294286,0.2619645376414419,-1.3459310164767202,0.32350529125044014,533,47212,28684,0
