year,net,reason,hold
2019,0.7316165519152792,target,56
2019,-1.0165213217365319,stop,31
2019,-1.0407788810299112,stop,72
2019,-1.03000917801008,stop,32
2019,0.9786518502938614,target,6
2019,-1.0480070030662947,stop,37
2019,0.9438133769776159,target,15
2019,0.4524696529652973,target,233
2019,0.6609377509463821,target,279
2019,0.8605484496248604,target,35
2019,-1.0400692491920918,stop,280
2019,-1.0466340569257309,stop,25
2019,-1.0650903434358876,stop,95
2019,0.9669840262459053,target,18
2019,0.9337005041643314,target,34
2019,-1.0328674683245775,stop,112
2019,-1.0478620139828594,stop,10
2019,-1.0676546791578536,stop,18
2019,-1.06702368485002,stop,6
2019,-1.0631651178488228,stop,9
2019,-1.0610504043987588,stop,5
2019,1.0256027675204482,target,6
2019,-1.040821443149407,stop,59
2019,0.82944854822259,target,13
2019,-1.135876631794548,stop,155
2019,-1.0744913434858714,stop,40
2019,0.6576440450998903,target,113
2019,0.388503344933804,target,273
2019,-1.0670217880662902,stop,16
2019,-1.0783940539690458,stop,2
2019,-1.059615208301271,stop,89
2019,0.9819354926259131,target,8
2019,-1.0784152503219364,stop,47
2019,-1.1180041529988918,stop,3
2019,0.45347876950084554,target,91
2019,-1.026237286814962,stop,97
2019,-1.0824900815858625,stop,19
2019,-1.03368361362964,stop,188
2019,1.0506804875590599,target,26
2019,-1.0539402963675335,stop,127
2019,1.0142203112285886,target,78
2019,0.8962061805240289,target,6
2019,-1.0333176701586975,stop,56
2019,-1.0279495655230366,stop,98
2019,0.981607899566973,target,18
2019,0.8729267177584517,target,35
2019,1.1928153400529258,target,16
2019,0.5868986493340769,target,60
2019,0.9678810158274115,target,15
2019,-1.081683314673275,stop,3
2019,0.884696624479061,target,5
2019,-1.0558768640532665,stop,29
2019,0.9090093918303088,target,7
2019,0.16550155378613324,eod,350
2019,-1.0990974606775181,stop,8
2019,0.7764535430348232,target,43
2019,-1.155341003094486,stop,14
2019,0.7991506457450159,target,41
2019,0.9017836761612001,target,23
2019,1.0041065118731227,target,15
2019,-0.951390570665689,eod,295
2019,-1.0423360930417649,stop,83
2019,0.8164373406383201,target,49
2019,-1.060690546726245,stop,3
2019,1.2012769791022053,target,20
2019,0.8435159003122246,target,9
2019,-1.1081238369876845,stop,3
2019,-1.0697823780683215,stop,9
2019,-1.0388944383512593,stop,61
2019,-1.0325498636643038,stop,51
2019,-1.0292777338364962,stop,42
2019,0.9301061544865751,target,38
2019,0.5632752435893119,target,113
2019,-1.024534738335792,stop,32
2019,-0.502234075155434,eod,353
2019,-1.0311329705824577,stop,75
2019,-1.0270832999853845,stop,36
2019,-1.0243749039116357,stop,42
2019,0.804926516269889,target,58
2019,0.8338309646968401,target,70
2019,0.6579832671548955,target,105
2019,0.8755217061395287,target,47
2019,-1.0355246047448932,stop,2
2019,-1.031832678012126,stop,41
2019,-1.0454778061265597,stop,24
2019,0.9579161340299152,target,10
2019,-1.0228749971459694,stop,41
2019,-1.026245033262544,stop,47
2019,0.8434006339571454,target,22
2019,0.4195618229683715,target,350
