variant,net,months,monthly_net,payouts,taken,fees,ch_rounds,ch_pass,ch_blow,fu_rounds,fu_blow,live,end_state,end_result
官方全套规则 ($140/$95 费),25378.44578349282,91.81997371879106,276.393520447056,19,27813.44578349282,2435.0,19,14,5,14,11,2,funded,进行中
官方规则 + 旧费用 $92,26065.44578349282,91.81997371879106,283.87555264741377,19,27813.44578349282,1748.0,19,14,5,14,11,2,funded,进行中
官方规则但去掉 5 次提款上限,54360.967007982625,91.81997371879106,592.0385816540219,41,54875.967007982625,515.0,4,3,1,3,2,0,funded,进行中
"官方规则但单次 cap 回到 $3,000",32669.273357022234,91.81997371879106,355.79702360921533,20,35009.27335702223,2340.0,18,13,4,13,10,3,考核,进行中
官方规则但去掉「5 个 ≥$150 日」,19535.85257352941,91.81997371879106,212.76255897611279,25,23145.85257352941,3610.0,29,18,10,18,16,2,考核,进行中
"官方规则但 payout 后地板重置 -$2,000",29113.392007982617,91.81997371879106,317.07035875598956,22,31123.392007982617,2010.0,15,12,2,12,8,4,考核,进行中
旧模型全套 (README §7.6),63744.71309784992,91.81997371879106,694.2358020388377,54,66543.71309784992,2799.0,30,16,13,16,16,0,考核,进行中
