年,笔数,年初权益,当年盈亏,年内收益,年内MDD,PF,月均,手数中位
2019,253,25000.0,29045.86,1.1618344,-0.14808638561053927,1.45861415941332,2420.4883333333332,18.0
2020,254,54045.86,14806.36,0.2739591894735323,-0.14441596175784838,1.1534371850318752,1233.8633333333335,14.0
2021,254,68852.22,41342.18,0.6004480320315017,-0.19081307674490067,1.3042161218684094,3445.181666666667,20.0
2022,255,110194.4,212562.94,1.9289813275447756,-0.1478105200428638,1.6900509635972634,19323.903636363637,34.0
2023,255,322757.33999999997,197668.27999999997,0.6124362036197224,-0.20429626209996804,1.3287367660555638,17969.843636363632,83.0
2024,256,520425.61999999994,393827.1600000001,0.7567405309523388,-0.27686411158625496,1.4265023956562044,32818.93000000001,111.0
2025,255,914252.78,112053.41999999991,0.12256284306841256,-0.1942766265858444,1.0917333312812325,9337.784999999993,116.0
2026,169,1026306.1999999998,819355.1799999999,0.7983535323083891,-0.10098407595375736,1.5765248258738567,117050.73999999999,146.0
