combo,span,starts,months,net_med,net_mean,net_p10,net_p90,neg_share,zero_pay_share,pay_med,ch_med,fee_med,alive_share
考14/资7,近4年,1019,47.8646517739816,6526.595783492823,6191.72013853963,-140.0,11060.345783492823,16.290480863591757,16.290480863591757,5.0,6.0,750.0,65.16192345436703
考14/资7,近3年,762,35.873850197109064,5761.595783492823,4882.4324408349985,-140.0,7401.323283492821,21.784776902887142,21.784776902887142,4.0,3.0,420.0,62.335958005249346
考7/资14,近4年,1019,47.8646517739816,4401.576286764706,4692.359151259754,239.40000000000538,10397.076286764706,10.009813542688912,10.009813542688912,5.0,8.0,985.0,87.3405299313052
考7/资14,近3年,762,35.873850197109064,3496.75,3177.594284035644,-140.0,4984.301286764707,13.385826771653544,13.385826771653544,3.0,7.0,755.0,83.07086614173228
考14/资14,近4年,1019,47.8646517739816,4361.125,4555.398412553977,-140.0,8265.076286764706,11.383709519136408,11.383709519136408,4.0,5.0,655.0,86.75171736997056
考14/资14,近3年,762,35.873850197109064,3686.75,3344.2928091489816,-140.0,5174.301286764707,15.223097112860891,15.223097112860891,3.0,3.0,420.0,82.28346456692913
