date,pnl_pc,stop_pt,r,exit_reason
2019-01-02,273.0,30.0,4.55,
2019-01-03,-62.0,30.0,-1.0333333333333334,
2019-01-04,326.0,30.0,5.433333333333334,
2019-01-07,105.5,30.0,1.7583333333333333,
2019-01-08,-62.0,30.0,-1.0333333333333334,
2019-01-09,-62.0,30.0,-1.0333333333333334,
2019-01-10,-62.0,30.0,-1.0333333333333334,
2019-01-11,-62.0,30.0,-1.0333333333333334,
2019-01-14,-62.0,30.0,-1.0333333333333334,
2019-01-15,167.5,30.0,2.7916666666666665,
2019-01-16,-51.5,30.0,-0.8583333333333333,
2019-01-17,123.0,30.0,2.05,
2019-01-18,-62.0,30.0,-1.0333333333333334,
2019-01-21,-18.0,30.0,-0.3,
2019-01-22,116.0,30.0,1.9333333333333333,
2019-01-23,-62.0,30.0,-1.0333333333333334,
2019-01-24,-62.0,30.0,-1.0333333333333334,
2019-01-25,-62.0,30.0,-1.0333333333333334,
2019-01-28,-52.5,30.0,-0.875,
2019-01-29,95.0,30.0,1.5833333333333333,
2019-01-30,178.5,30.0,2.975,
2019-01-31,97.0,30.0,1.6166666666666667,
2019-02-01,-62.0,30.0,-1.0333333333333334,
2019-02-04,144.5,30.0,2.408333333333333,
2019-02-05,58.5,30.0,0.975,
2019-02-06,-62.0,30.0,-1.0333333333333334,
2019-02-07,43.0,30.0,0.7166666666666667,
2019-02-08,104.0,30.0,1.7333333333333334,
2019-02-11,-62.0,30.0,-1.0333333333333334,
2019-02-12,72.5,30.0,1.2083333333333333,
2019-02-13,-62.0,30.0,-1.0333333333333334,
2019-02-14,36.5,30.0,0.6083333333333333,
2019-02-15,-62.0,30.0,-1.0333333333333334,
2019-02-18,20.5,30.0,0.3416666666666667,
2019-02-19,32.5,30.0,0.5416666666666666,
2019-02-20,-62.0,30.0,-1.0333333333333334,
2019-02-21,-62.0,30.0,-1.0333333333333334,
2019-02-22,51.0,30.0,0.85,
2019-02-25,-62.0,30.0,-1.0333333333333334,
2019-02-26,41.0,30.0,0.6833333333333333,
2019-02-27,-62.0,30.0,-1.0333333333333334,
2019-02-28,-3.0,30.0,-0.05,
2019-03-04,-62.0,30.0,-1.0333333333333334,
2019-03-05,-62.0,30.0,-1.0333333333333334,
2019-03-06,83.5,30.0,1.3916666666666666,
2019-03-07,119.5,30.0,1.9916666666666667,
2019-03-08,115.0,30.0,1.9166666666666667,
2019-03-11,197.0,30.0,3.283333333333333,
2019-03-12,-62.0,30.0,-1.0333333333333334,
2019-03-13,11.0,30.0,0.18333333333333332,
2019-03-14,18.5,30.0,0.30833333333333335,
2019-03-15,39.0,30.0,0.65,
2019-03-18,8.5,30.0,0.14166666666666666,
2019-03-19,-62.0,30.0,-1.0333333333333334,
2019-03-20,-62.0,30.0,-1.0333333333333334,
2019-03-21,247.0,30.0,4.116666666666666,
