date,pnl_pc,stop_pt,r,exit_reason
2019-01-02,273.0,19.662850814305344,6.94202490214145,
2019-01-03,-41.5,19.713718613283536,-1.0525665100047739,
2019-01-04,326.0,19.910952998048998,8.186448936722003,
2019-01-07,-43.5,20.654813498188357,-1.0530233062577739,
2019-01-08,-42.0,19.990183962603474,-1.0505155950183167,
2019-01-09,-41.0,19.41231367956037,-1.0560307410231515,
2019-01-10,-39.5,18.631076988163198,-1.0600568079101216,
2019-01-11,-38.0,18.094928631865827,-1.0500179573264694,
2019-01-14,-36.5,17.22386230101827,-1.059576515478823,
2019-01-15,167.5,16.647157850945536,5.030888800951876,
2019-01-16,-35.0,16.434860861592284,-1.064809744808787,
2019-01-17,123.0,15.69844222862141,3.9175861594644825,
2019-01-18,-33.0,15.403910640862737,-1.0711565643746084,
2019-01-21,-18.0,15.003631309372544,-0.5998547827803417,
2019-01-22,116.0,14.315871930131648,4.051447252606613,
2019-01-23,-30.5,14.364738220836529,-1.0616274216455521,
2019-01-24,-30.5,14.281542633633919,-1.0678118177573692,
2019-01-25,-29.5,13.668575302660068,-1.0791175871218615,
2019-01-28,-29.0,13.424391352470066,-1.0801234573165228,
2019-01-29,-29.0,13.501220541579347,-1.0739769752923256,
2019-01-30,-28.5,13.201133360037966,-1.0794527720731257,
2019-01-31,97.0,13.661766691463825,3.5500533053535364,
2019-02-01,-29.0,13.603783356359267,-1.0658799556096858,
2019-02-04,-28.0,13.110655973762178,-1.067833678804297,
2019-02-05,-27.5,12.81525197563631,-1.0729402766438603,
2019-02-06,-27.0,12.405233977376575,-1.0882503324499924,
2019-02-07,-26.0,11.994145836135392,-1.0838620921911937,
2019-02-08,-26.5,12.185635419268579,-1.0873458415675552,
2019-02-11,-26.0,11.88844717503511,-1.0934985712262804,
2019-02-12,72.5,11.51605809110403,3.1477784944487683,
2019-02-13,-25.0,11.498839656025172,-1.0870662061497864,
2019-02-14,-24.0,11.072136823451947,-1.0838016357043874,
2019-02-15,-23.5,10.874127050348235,-1.0805465069146598,
2019-02-18,20.5,10.517046546751935,0.9746082186130088,
2019-02-19,32.5,9.930114650555367,1.636436292212515,
2019-02-20,-21.5,9.642249318372842,-1.1148850900916234,
2019-02-21,-21.0,9.473160081346212,-1.1083946549869625,
2019-02-22,-20.5,9.273291504107197,-1.1053248995203282,
2019-02-25,-20.0,9.030556396670969,-1.1073514809880827,
2019-02-26,41.0,8.906945225480184,2.3015747241102877,
2019-02-27,-19.5,8.699306280803029,-1.1207790236694577,
2019-02-28,-19.5,8.676141546459956,-1.12377143085894,
2019-03-04,-18.5,8.221647557917002,-1.1250786335511,
2019-03-05,-19.0,8.612958446637217,-1.1029891829687293,
2019-03-06,83.5,8.410247129020274,4.964182307549331,
2019-03-07,119.5,8.245229476947397,7.246614562645385,
2019-03-08,-19.0,8.472355942879727,-1.1212937775571055,
2019-03-11,197.0,8.486830518388317,11.606217396068084,
2019-03-12,-20.0,8.966342624217722,-1.1152819403744858,
2019-03-13,-19.5,8.743746722487886,-1.1150826195507413,
2019-03-14,-19.5,8.77990767088161,-1.110490037649904,
2019-03-15,39.0,8.35277140867578,2.334554490470782,
2019-03-18,-19.0,8.393644879484652,-1.1318086643407381,
2019-03-19,-18.5,8.206598816664322,-1.1271417315072045,
2019-03-20,-18.0,8.120413186902585,-1.108317987379768,
2019-03-21,247.0,8.3153836735524,14.851990581360605,
2019-03-22,-19.5,8.794641982584372,-1.1086295518689084,
2019-03-25,-21.0,9.407524698114058,-1.1161278165025654,
2019-03-26,-20.5,9.292701505391625,-1.1030161674786336,
2019-03-27,-21.0,9.393222826435082,-1.1178272030820078,
2019-03-28,-21.5,9.641921195975433,-1.1149230305353546,
2019-03-29,-21.0,9.460355396262903,-1.1098948781721016,
2019-04-01,-20.5,9.21140143938698,-1.1127514165403847,
2019-04-02,-20.5,9.29808705085934,-1.1023772894288706,
2019-04-03,-20.0,8.964295118655102,-1.1155366783038578,
2019-04-04,-20.0,8.972202610179737,-1.1145535198518743,
2019-04-05,18.5,8.874188138024042,1.0423488724974945,
2019-04-08,-19.0,8.545674699593754,-1.1116734879285322,
2019-04-09,-19.0,8.420983649622771,-1.1281342412326814,
2019-04-10,-18.5,8.142699103221146,-1.1359869599431496,
2019-04-11,-17.5,7.868220595848206,-1.1120684649610713,
2019-04-12,-17.5,7.641919124716193,-1.1450003405165532,
2019-04-15,-16.5,7.354996330093607,-1.121686487625345,
2019-04-16,-16.5,7.259996592229779,-1.1363641697614295,
2019-04-17,-16.0,7.046782549927652,-1.135269882860531,
2019-04-18,-16.0,6.94165522493282,-1.1524628839625815,
2019-04-22,93.5,6.817251280294761,6.857602584656179,
2019-04-23,139.5,6.782090474559421,10.284439622509032,
2019-04-24,-16.0,7.06015544066232,-1.1331195279249422,
2019-04-25,-15.5,6.86657290918644,-1.1286561873728405,
2019-04-26,-2.0,6.89574627281598,-0.14501693659207607,
2019-04-29,-16.0,7.026407253329125,-1.1385619579920572,
2019-04-30,-15.5,6.813806735234187,-1.1373965099310432,
2019-05-01,-16.5,7.146749111288888,-1.1543710114251016,
2019-05-02,-17.0,7.382695603339681,-1.151340981220313,
2019-05-03,100.0,7.732145917386848,6.466510142749346,
2019-05-06,164.5,8.088778351859217,10.168408185037574,
2019-05-07,-19.5,8.8038656124407,-1.107468063372335,
2019-05-08,-21.5,9.798232354409222,-1.0971366682442962,
2019-05-09,-2.0,9.75550147195142,-0.10250626304297683,
2019-05-10,-22.0,10.112251366812034,-1.0877894151347463,
2019-05-13,-23.5,10.827447697754032,-1.0852049650110374,
2019-05-14,-26.0,12.10941571934303,-1.0735447771633102,
2019-05-15,257.0,12.137314596532814,10.587185408929562,
2019-05-16,84.0,12.523934982494756,3.3535785724458975,
2019-05-17,-2.0,12.55258248374513,-0.07966488181176601,
2019-05-20,-27.0,12.452398020620478,-1.0841285331262902,
2019-05-21,-27.5,12.654012447719017,-1.08661185981989,
