date,pnl_pc,stop_pt,r,exit_reason
2019-01-02,273.0,20.0,6.825,
2019-01-03,-42.0,20.0,-1.05,
2019-01-04,326.0,20.0,8.15,
2019-01-07,-42.0,20.0,-1.05,
2019-01-08,-42.0,20.0,-1.05,
2019-01-09,-42.0,20.0,-1.05,
2019-01-10,-42.0,20.0,-1.05,
2019-01-11,-42.0,20.0,-1.05,
2019-01-14,-42.0,20.0,-1.05,
2019-01-15,167.5,20.0,4.1875,
2019-01-16,-42.0,20.0,-1.05,
2019-01-17,123.0,20.0,3.075,
2019-01-18,-42.0,20.0,-1.05,
2019-01-21,-18.0,20.0,-0.45,
2019-01-22,116.0,20.0,2.9,
2019-01-23,-42.0,20.0,-1.05,
2019-01-24,-42.0,20.0,-1.05,
2019-01-25,-42.0,20.0,-1.05,
2019-01-28,-42.0,20.0,-1.05,
2019-01-29,95.0,20.0,2.375,
2019-01-30,-42.0,20.0,-1.05,
2019-01-31,97.0,20.0,2.425,
2019-02-01,-42.0,20.0,-1.05,
2019-02-04,144.5,20.0,3.6125,
2019-02-05,58.5,20.0,1.4625,
2019-02-06,-42.0,20.0,-1.05,
2019-02-07,-42.0,20.0,-1.05,
2019-02-08,-42.0,20.0,-1.05,
2019-02-11,-42.0,20.0,-1.05,
2019-02-12,72.5,20.0,1.8125,
2019-02-13,-42.0,20.0,-1.05,
2019-02-14,36.5,20.0,0.9125,
2019-02-15,-42.0,20.0,-1.05,
2019-02-18,20.5,20.0,0.5125,
2019-02-19,32.5,20.0,0.8125,
2019-02-20,-42.0,20.0,-1.05,
2019-02-21,-42.0,20.0,-1.05,
2019-02-22,51.0,20.0,1.275,
2019-02-25,-42.0,20.0,-1.05,
2019-02-26,41.0,20.0,1.025,
2019-02-27,-42.0,20.0,-1.05,
2019-02-28,-42.0,20.0,-1.05,
2019-03-04,-42.0,20.0,-1.05,
2019-03-05,-42.0,20.0,-1.05,
2019-03-06,83.5,20.0,2.0875,
2019-03-07,119.5,20.0,2.9875,
2019-03-08,115.0,20.0,2.875,
2019-03-11,197.0,20.0,4.925,
2019-03-12,-42.0,20.0,-1.05,
2019-03-13,11.0,20.0,0.275,
2019-03-14,18.5,20.0,0.4625,
2019-03-15,39.0,20.0,0.975,
2019-03-18,-42.0,20.0,-1.05,
2019-03-19,-42.0,20.0,-1.05,
2019-03-20,-42.0,20.0,-1.05,
2019-03-21,247.0,20.0,6.175,
2019-03-22,-42.0,20.0,-1.05,
2019-03-25,-42.0,20.0,-1.05,
2019-03-26,-42.0,20.0,-1.05,
2019-03-27,-42.0,20.0,-1.05,
2019-03-28,-42.0,20.0,-1.05,
2019-03-29,-33.0,20.0,-0.825,
2019-04-01,-42.0,20.0,-1.05,
2019-04-02,-42.0,20.0,-1.05,
2019-04-03,-42.0,20.0,-1.05,
2019-04-04,-42.0,20.0,-1.05,
2019-04-05,18.5,20.0,0.4625,
2019-04-08,-42.0,20.0,-1.05,
2019-04-09,-42.0,20.0,-1.05,
2019-04-10,-42.0,20.0,-1.05,
2019-04-11,20.0,20.0,0.5,
2019-04-12,-16.5,20.0,-0.4125,
2019-04-15,-42.0,20.0,-1.05,
2019-04-16,-42.0,20.0,-1.05,
2019-04-17,31.0,20.0,0.775,
2019-04-18,-42.0,20.0,-1.05,
2019-04-22,93.5,20.0,2.3375,
2019-04-23,139.5,20.0,3.4875,
2019-04-24,-42.0,20.0,-1.05,
2019-04-25,28.5,20.0,0.7125,
2019-04-26,-42.0,20.0,-1.05,
2019-04-29,-42.0,20.0,-1.05,
2019-04-30,-42.0,20.0,-1.05,
2019-05-01,-42.0,20.0,-1.05,
2019-05-02,-42.0,20.0,-1.05,
2019-05-03,100.0,20.0,2.5,
2019-05-06,164.5,20.0,4.1125,
2019-05-07,-42.0,20.0,-1.05,
2019-05-08,-42.0,20.0,-1.05,
2019-05-09,-42.0,20.0,-1.05,
2019-05-10,-42.0,20.0,-1.05,
2019-05-13,-42.0,20.0,-1.05,
2019-05-14,-42.0,20.0,-1.05,
2019-05-15,257.0,20.0,6.425,
2019-05-16,84.0,20.0,2.1,
2019-05-17,-42.0,20.0,-1.05,
2019-05-20,-42.0,20.0,-1.05,
2019-05-21,-42.0,20.0,-1.05,
2019-05-22,-42.0,20.0,-1.05,
2019-05-23,-42.0,20.0,-1.05,
2019-05-24,-42.0,20.0,-1.05,
2019-05-27,-12.0,20.0,-0.3,
2019-05-28,-42.0,20.0,-1.05,
2019-05-29,-42.0,20.0,-1.05,
2019-05-30,-42.0,20.0,-1.05,
2019-05-31,-42.0,20.0,-1.05,
2019-06-03,-42.0,20.0,-1.05,
2019-06-04,-42.0,20.0,-1.05,
2019-06-05,-42.0,20.0,-1.05,
2019-06-06,-42.0,20.0,-1.05,
2019-06-07,195.5,20.0,4.8875,
2019-06-10,8.0,20.0,0.2,
2019-06-11,-42.0,20.0,-1.05,
2019-06-12,-42.0,20.0,-1.05,
2019-06-13,-42.0,20.0,-1.05,
2019-06-14,-42.0,20.0,-1.05,
2019-06-17,42.0,20.0,1.05,
2019-06-18,-42.0,20.0,-1.05,
2019-06-19,-42.0,20.0,-1.05,
2019-06-20,36.0,20.0,0.9,
2019-06-21,-10.5,20.0,-0.2625,
2019-06-24,22.5,20.0,0.5625,
2019-06-25,243.0,20.0,6.075,
2019-06-26,-42.0,20.0,-1.05,
2019-06-27,-42.0,20.0,-1.05,
2019-06-28,-11.5,20.0,-0.2875,
2019-07-01,-42.0,20.0,-1.05,
2019-07-02,-42.0,20.0,-1.05,
2019-07-03,-42.0,20.0,-1.05,
2019-07-04,4.5,20.0,0.1125,
2019-07-05,-42.0,20.0,-1.05,
2019-07-08,-16.0,20.0,-0.4,
2019-07-09,128.0,20.0,3.2,
2019-07-10,-42.0,20.0,-1.05,
2019-07-12,56.0,20.0,1.4,
2019-07-15,-28.5,20.0,-0.7125,
2019-07-17,-42.0,20.0,-1.05,
2019-07-18,-42.0,20.0,-1.05,
2019-07-19,210.5,20.0,5.2625,
2019-07-22,74.0,20.0,1.85,
2019-07-23,-37.0,20.0,-0.925,
2019-07-24,142.5,20.0,3.5625,
2019-07-25,52.5,20.0,1.3125,
2019-07-26,18.0,20.0,0.45,
2019-07-29,8.5,20.0,0.2125,
2019-07-30,37.0,20.0,0.925,
2019-07-31,-42.0,20.0,-1.05,
2019-08-01,-2.0,20.0,-0.05,
2019-08-02,-42.0,20.0,-1.05,
2019-08-05,203.0,20.0,5.075,
2019-08-06,-42.0,20.0,-1.05,
2019-08-07,-42.0,20.0,-1.05,
2019-08-08,224.0,20.0,5.6,
2019-08-09,-42.0,20.0,-1.05,
2019-08-12,-42.0,20.0,-1.05,
2019-08-13,336.5,20.0,8.4125,
2019-08-14,178.0,20.0,4.45,
2019-08-15,-42.0,20.0,-1.05,
2019-08-19,-42.0,20.0,-1.05,
2019-08-20,-42.0,20.0,-1.05,
2019-08-21,-42.0,20.0,-1.05,
2019-08-22,-42.0,20.0,-1.05,
2019-08-23,-42.0,20.0,-1.05,
2019-08-26,-42.0,20.0,-1.05,
2019-08-27,-42.0,20.0,-1.05,
2019-08-28,-42.0,20.0,-1.05,
2019-08-29,-42.0,20.0,-1.05,
2019-08-30,98.5,20.0,2.4625,
2019-09-02,80.0,20.0,2.0,
2019-09-03,-42.0,20.0,-1.05,
2019-09-04,-42.0,20.0,-1.05,
2019-09-05,93.0,20.0,2.325,
2019-09-06,-42.0,20.0,-1.05,
2019-09-09,63.0,20.0,1.575,
2019-09-10,-42.0,20.0,-1.05,
2019-09-11,-42.0,20.0,-1.05,
2019-09-12,-42.0,20.0,-1.05,
2019-09-13,-42.0,20.0,-1.05,
2019-09-16,17.0,20.0,0.425,
2019-09-17,62.5,20.0,1.5625,
2019-09-18,-42.0,20.0,-1.05,
2019-09-19,-42.0,20.0,-1.05,
2019-09-20,180.5,20.0,4.5125,
2019-09-23,-42.0,20.0,-1.05,
2019-09-24,-42.0,20.0,-1.05,
2019-09-25,-42.0,20.0,-1.05,
2019-09-26,-42.0,20.0,-1.05,
2019-09-27,184.0,20.0,4.6,
2019-09-30,-42.0,20.0,-1.05,
2019-10-01,-42.0,20.0,-1.05,
2019-10-02,117.5,20.0,2.9375,
2019-10-03,-42.0,20.0,-1.05,
2019-10-04,140.5,20.0,3.5125,
2019-10-07,-42.0,20.0,-1.05,
2019-10-08,-42.0,20.0,-1.05,
2019-10-09,-42.0,20.0,-1.05,
2019-10-10,89.0,20.0,2.225,
2019-10-11,-5.0,20.0,-0.125,
2019-10-14,8.5,20.0,0.2125,
2019-10-15,121.0,20.0,3.025,
2019-10-16,-42.0,20.0,-1.05,
2019-10-17,-42.0,20.0,-1.05,
2019-10-18,-42.0,20.0,-1.05,
2019-10-21,-42.0,20.0,-1.05,
2019-10-22,-42.0,20.0,-1.05,
2019-10-23,-42.0,20.0,-1.05,
2019-10-24,-42.0,20.0,-1.05,
2019-10-25,173.5,20.0,4.3375,
2019-10-28,46.5,20.0,1.1625,
2019-10-29,74.0,20.0,1.85,
2019-10-30,-42.0,20.0,-1.05,
2019-10-31,1.5,20.0,0.0375,
2019-11-01,-42.0,20.0,-1.05,
2019-11-04,-42.0,20.0,-1.05,
2019-11-05,6.0,20.0,0.15,
2019-11-06,-17.5,20.0,-0.4375,
2019-11-07,-42.0,20.0,-1.05,
2019-11-08,-42.0,20.0,-1.05,
2019-11-11,-42.0,20.0,-1.05,
2019-11-12,18.0,20.0,0.45,
2019-11-13,13.5,20.0,0.3375,
2019-11-14,-42.0,20.0,-1.05,
2019-11-15,-42.0,20.0,-1.05,
2019-11-18,-42.0,20.0,-1.05,
2019-11-19,20.0,20.0,0.5,
2019-11-20,-42.0,20.0,-1.05,
2019-11-21,-42.0,20.0,-1.05,
2019-11-22,22.5,20.0,0.5625,
2019-11-25,79.5,20.0,1.9875,
2019-11-26,-42.0,20.0,-1.05,
2019-11-27,-42.0,20.0,-1.05,
2019-11-29,5.5,20.0,0.1375,
2019-12-02,162.5,20.0,4.0625,
2019-12-03,-42.0,20.0,-1.05,
2019-12-04,-42.0,20.0,-1.05,
2019-12-05,0.0,20.0,0.0,
2019-12-06,31.0,20.0,0.775,
2019-12-09,-42.0,20.0,-1.05,
2019-12-10,-42.0,20.0,-1.05,
2019-12-11,-42.0,20.0,-1.05,
2019-12-12,-42.0,20.0,-1.05,
2019-12-13,-42.0,20.0,-1.05,
2019-12-16,33.0,20.0,0.825,
2019-12-17,-9.5,20.0,-0.2375,
2019-12-18,-22.0,20.0,-0.55,
2019-12-19,75.5,20.0,1.8875,
2019-12-20,-42.0,20.0,-1.05,
2019-12-23,9.5,20.0,0.2375,
2019-12-24,-15.5,20.0,-0.3875,
2019-12-26,97.0,20.0,2.425,
2019-12-27,55.5,20.0,1.3875,
2019-12-30,68.5,20.0,1.7125,
2019-12-31,56.5,20.0,1.4125,
2020-01-02,-42.0,20.0,-1.05,
2020-01-03,-31.0,20.0,-0.775,
2020-01-06,197.0,20.0,4.925,
2020-01-07,-42.0,20.0,-1.05,
2020-01-08,108.0,20.0,2.7,
2020-01-09,-42.0,20.0,-1.05,
2020-01-10,-42.0,20.0,-1.05,
2020-01-13,131.0,20.0,3.275,
2020-01-14,-42.0,20.0,-1.05,
2020-01-15,-42.0,20.0,-1.05,
2020-01-16,-42.0,20.0,-1.05,
2020-01-17,-42.0,20.0,-1.05,
2020-01-20,11.0,20.0,0.275,
2020-01-21,31.5,20.0,0.7875,
2020-01-22,-42.0,20.0,-1.05,
2020-01-23,-42.0,20.0,-1.05,
2020-01-24,222.5,20.0,5.5625,
2020-01-27,-42.0,20.0,-1.05,
2020-01-28,-42.0,20.0,-1.05,
2020-01-29,-42.0,20.0,-1.05,
2020-01-30,-42.0,20.0,-1.05,
2020-01-31,308.5,20.0,7.7125,
2020-02-03,122.5,20.0,3.0625,
2020-02-04,-42.0,20.0,-1.05,
2020-02-05,104.5,20.0,2.6125,
2020-02-06,-42.0,20.0,-1.05,
2020-02-07,-42.0,20.0,-1.05,
2020-02-10,218.0,20.0,5.45,
2020-02-11,-42.0,20.0,-1.05,
2020-02-12,-42.0,20.0,-1.05,
2020-02-13,68.0,20.0,1.7,
2020-02-14,-42.0,20.0,-1.05,
2020-02-17,8.5,20.0,0.2125,
2020-02-18,-42.0,20.0,-1.05,
2020-02-19,46.5,20.0,1.1625,
2020-02-20,-42.0,20.0,-1.05,
2020-02-21,251.0,20.0,6.275,
2020-02-24,-42.0,20.0,-1.05,
2020-02-25,-42.0,20.0,-1.05,
2020-02-26,-42.0,20.0,-1.05,
2020-02-27,-42.0,20.0,-1.05,
2020-02-28,-42.0,20.0,-1.05,
2020-03-02,-42.0,20.0,-1.05,
2020-03-03,-42.0,20.0,-1.05,
2020-03-04,-42.0,20.0,-1.05,
2020-03-05,-42.0,20.0,-1.05,
2020-03-06,-42.0,20.0,-1.05,
2020-03-09,-42.0,20.0,-1.05,
2020-03-10,-42.0,20.0,-1.05,
2020-03-11,-42.0,20.0,-1.05,
2020-03-12,-2.0,20.0,-0.05,
2020-03-13,-42.0,20.0,-1.05,
2020-03-16,-2.0,20.0,-0.05,
2020-03-17,-42.0,20.0,-1.05,
2020-03-18,-42.0,20.0,-1.05,
2020-03-19,-42.0,20.0,-1.05,
2020-03-20,-42.0,20.0,-1.05,
2020-03-23,-2.0,20.0,-0.05,
2020-03-24,-42.0,20.0,-1.05,
2020-03-25,-42.0,20.0,-1.05,
2020-03-26,-42.0,20.0,-1.05,
2020-03-27,-42.0,20.0,-1.05,
2020-03-30,-42.0,20.0,-1.05,
2020-03-31,-2.0,20.0,-0.05,
2020-04-01,-42.0,20.0,-1.05,
2020-04-02,-42.0,20.0,-1.05,
2020-04-03,-42.0,20.0,-1.05,
2020-04-06,-42.0,20.0,-1.05,
2020-04-07,436.0,20.0,10.9,
2020-04-08,-42.0,20.0,-1.05,
2020-04-09,-42.0,20.0,-1.05,
2020-04-13,-42.0,20.0,-1.05,
2020-04-14,349.5,20.0,8.7375,
2020-04-15,-42.0,20.0,-1.05,
2020-04-16,-42.0,20.0,-1.05,
2020-04-17,-42.0,20.0,-1.05,
2020-04-20,-42.0,20.0,-1.05,
2020-04-21,-42.0,20.0,-1.05,
2020-04-22,-42.0,20.0,-1.05,
2020-04-23,-42.0,20.0,-1.05,
2020-04-24,-42.0,20.0,-1.05,
2020-04-27,-42.0,20.0,-1.05,
2020-04-28,438.5,20.0,10.9625,
2020-04-29,-42.0,20.0,-1.05,
2020-04-30,-42.0,20.0,-1.05,
2020-05-01,-42.0,20.0,-1.05,
2020-05-04,201.0,20.0,5.025,
2020-05-05,-42.0,20.0,-1.05,
2020-05-06,-42.0,20.0,-1.05,
2020-05-07,-42.0,20.0,-1.05,
2020-05-08,-42.0,20.0,-1.05,
2020-05-11,214.5,20.0,5.3625,
2020-05-12,-42.0,20.0,-1.05,
2020-05-13,-42.0,20.0,-1.05,
2020-05-14,-42.0,20.0,-1.05,
2020-05-15,-42.0,20.0,-1.05,
2020-05-18,-42.0,20.0,-1.05,
2020-05-19,-42.0,20.0,-1.05,
2020-05-20,125.5,20.0,3.1375,
2020-05-21,-42.0,20.0,-1.05,
2020-05-22,-42.0,20.0,-1.05,
2020-05-25,11.0,20.0,0.275,
2020-05-26,296.5,20.0,7.4125,
2020-05-27,-2.0,20.0,-0.05,
2020-05-28,-2.0,20.0,-0.05,
2020-05-29,-42.0,20.0,-1.05,
2020-06-01,-42.0,20.0,-1.05,
2020-06-02,-42.0,20.0,-1.05,
2020-06-03,-42.0,20.0,-1.05,
2020-06-04,-42.0,20.0,-1.05,
2020-06-05,176.0,20.0,4.4,
2020-06-08,-42.0,20.0,-1.05,
2020-06-09,191.5,20.0,4.7875,
2020-06-10,-42.0,20.0,-1.05,
2020-06-11,-42.0,20.0,-1.05,
2020-06-12,-42.0,20.0,-1.05,
2020-06-15,-42.0,20.0,-1.05,
2020-06-16,-42.0,20.0,-1.05,
2020-06-17,-42.0,20.0,-1.05,
2020-06-18,-42.0,20.0,-1.05,
2020-06-22,-42.0,20.0,-1.05,
2020-06-23,-42.0,20.0,-1.05,
2020-06-24,-42.0,20.0,-1.05,
2020-06-25,-42.0,20.0,-1.05,
2020-06-26,403.5,20.0,10.0875,
2020-06-29,-42.0,20.0,-1.05,
2020-06-30,345.0,20.0,8.625,
2020-07-01,-42.0,20.0,-1.05,
2020-07-02,-42.0,20.0,-1.05,
2020-07-06,186.0,20.0,4.65,
2020-07-07,-42.0,20.0,-1.05,
2020-07-08,-42.0,20.0,-1.05,
2020-07-09,-42.0,20.0,-1.05,
2020-07-10,-42.0,20.0,-1.05,
2020-07-13,-2.0,20.0,-0.05,
2020-07-14,-42.0,20.0,-1.05,
2020-07-15,-42.0,20.0,-1.05,
2020-07-16,-42.0,20.0,-1.05,
2020-07-17,-42.0,20.0,-1.05,
2020-07-20,-42.0,20.0,-1.05,
2020-07-21,320.5,20.0,8.0125,
2020-07-22,-42.0,20.0,-1.05,
2020-07-23,-42.0,20.0,-1.05,
2020-07-24,-2.0,20.0,-0.05,
2020-07-27,-42.0,20.0,-1.05,
2020-07-28,-42.0,20.0,-1.05,
2020-07-29,-42.0,20.0,-1.05,
2020-07-30,-42.0,20.0,-1.05,
2020-07-31,-2.0,20.0,-0.05,
2020-08-03,-42.0,20.0,-1.05,
2020-08-04,-42.0,20.0,-1.05,
2020-08-05,-42.0,20.0,-1.05,
2020-08-06,-42.0,20.0,-1.05,
2020-08-07,-42.0,20.0,-1.05,
2020-08-10,-42.0,20.0,-1.05,
2020-08-11,-42.0,20.0,-1.05,
2020-08-12,304.0,20.0,7.6,
2020-08-13,-42.0,20.0,-1.05,
2020-08-14,-42.0,20.0,-1.05,
2020-08-17,91.0,20.0,2.275,
2020-08-18,-42.0,20.0,-1.05,
2020-08-19,-42.0,20.0,-1.05,
2020-08-20,313.0,20.0,7.825,
2020-08-24,-42.0,20.0,-1.05,
2020-08-26,367.5,20.0,9.1875,
2020-08-27,-42.0,20.0,-1.05,
2020-08-28,-42.0,20.0,-1.05,
2020-08-31,-42.0,20.0,-1.05,
2020-09-01,-42.0,20.0,-1.05,
2020-09-02,-2.0,20.0,-0.05,
2020-09-03,-42.0,20.0,-1.05,
2020-09-04,-42.0,20.0,-1.05,
2020-09-07,78.0,20.0,1.95,
2020-09-08,-42.0,20.0,-1.05,
2020-09-10,-42.0,20.0,-1.05,
2020-09-11,-42.0,20.0,-1.05,
2020-09-14,-42.0,20.0,-1.05,
2020-09-15,-42.0,20.0,-1.05,
2020-09-16,-42.0,20.0,-1.05,
2020-09-17,-2.0,20.0,-0.05,
2020-09-18,-42.0,20.0,-1.05,
2020-09-21,-42.0,20.0,-1.05,
2020-09-22,-2.0,20.0,-0.05,
2020-09-23,-42.0,20.0,-1.05,
2020-09-24,233.5,20.0,5.8375,
2020-09-25,-42.0,20.0,-1.05,
2020-09-28,-42.0,20.0,-1.05,
2020-09-29,-42.0,20.0,-1.05,
2020-09-30,-42.0,20.0,-1.05,
2020-10-01,-42.0,20.0,-1.05,
2020-10-02,-2.0,20.0,-0.05,
2020-10-05,283.0,20.0,7.075,
2020-10-06,-42.0,20.0,-1.05,
2020-10-07,-42.0,20.0,-1.05,
2020-10-08,28.0,20.0,0.7,
2020-10-09,181.0,20.0,4.525,
2020-10-12,-42.0,20.0,-1.05,
2020-10-13,-42.0,20.0,-1.05,
2020-10-14,-42.0,20.0,-1.05,
2020-10-15,-42.0,20.0,-1.05,
2020-10-16,-42.0,20.0,-1.05,
2020-10-19,-42.0,20.0,-1.05,
2020-10-20,-42.0,20.0,-1.05,
2020-10-21,-42.0,20.0,-1.05,
2020-10-22,-42.0,20.0,-1.05,
2020-10-23,-42.0,20.0,-1.05,
2020-10-26,-42.0,20.0,-1.05,
2020-10-27,-42.0,20.0,-1.05,
2020-10-28,447.0,20.0,11.175,
2020-10-29,-42.0,20.0,-1.05,
2020-10-30,242.5,20.0,6.0625,
2020-11-02,-42.0,20.0,-1.05,
2020-11-03,-42.0,20.0,-1.05,
2020-11-04,-42.0,20.0,-1.05,
2020-11-05,-42.0,20.0,-1.05,
2020-11-06,-42.0,20.0,-1.05,
2020-11-09,-42.0,20.0,-1.05,
2020-11-10,-42.0,20.0,-1.05,
2020-11-11,207.5,20.0,5.1875,
2020-11-12,-42.0,20.0,-1.05,
2020-11-13,-42.0,20.0,-1.05,
2020-11-16,-42.0,20.0,-1.05,
2020-11-17,-42.0,20.0,-1.05,
2020-11-18,-42.0,20.0,-1.05,
2020-11-19,-42.0,20.0,-1.05,
2020-11-20,-42.0,20.0,-1.05,
2020-11-23,-42.0,20.0,-1.05,
2020-11-24,-42.0,20.0,-1.05,
2020-11-25,-42.0,20.0,-1.05,
2020-11-26,-42.0,20.0,-1.05,
2020-11-27,47.5,20.0,1.1875,
2020-11-30,-2.0,20.0,-0.05,
2020-12-01,-42.0,20.0,-1.05,
2020-12-02,-42.0,20.0,-1.05,
2020-12-03,-42.0,20.0,-1.05,
2020-12-04,-42.0,20.0,-1.05,
2020-12-07,86.5,20.0,2.1625,
2020-12-08,-42.0,20.0,-1.05,
2020-12-09,-42.0,20.0,-1.05,
2020-12-10,-42.0,20.0,-1.05,
2020-12-11,-42.0,20.0,-1.05,
2020-12-14,37.0,20.0,0.925,
2020-12-15,-42.0,20.0,-1.05,
2020-12-16,-42.0,20.0,-1.05,
2020-12-17,-42.0,20.0,-1.05,
2020-12-18,107.5,20.0,2.6875,
2020-12-21,-42.0,20.0,-1.05,
2020-12-22,-42.0,20.0,-1.05,
2020-12-23,-42.0,20.0,-1.05,
2020-12-24,-42.0,20.0,-1.05,
2020-12-28,-42.0,20.0,-1.05,
2020-12-29,-42.0,20.0,-1.05,
2020-12-30,60.5,20.0,1.5125,
