stop,be,n_pos,med_annual,worst_annual,med_sharpe,worst_mdd
0.05,3.0,5,0.4513489854990329,-0.060580183600615345,1.0183188018274194,-0.39064613463739467
0.05,5.0,5,0.5918707598806736,-0.014950156001230064,1.1857865994807968,-0.42581417126209553
0.05,8.0,6,0.6644605450072432,0.06320459948193702,1.1523978167994726,-0.38754153392936663
0.05,,6,0.6492240402861928,0.03464411841390502,1.233970191288806,-0.3983146644743603
0.075,3.0,5,0.5830265636804466,-0.0011037753870207778,1.3935520732516664,-0.3029031251083903
0.075,5.0,6,0.6502056716113722,0.1626996766075326,1.4344072255750115,-0.2618210567040657
0.075,8.0,6,0.6543476826334174,0.16713717280014428,1.4274193322231754,-0.2619240917393952
0.075,,6,0.5862426155100504,0.2217170084679767,1.3504088406870736,-0.2619240917393952
0.1,3.0,6,0.42334386886677877,0.12710142782445555,1.3655116396806153,-0.22021797675637572
0.1,5.0,6,0.5002612547995209,0.07097127848572127,1.5201723833095415,-0.18854014598540145
0.1,8.0,6,0.49793005998257445,0.14322357180038003,1.5237748118189367,-0.195837275307474
0.1,,6,0.4953376251561097,0.1299925141994347,1.5237748118189367,-0.19990337969765898
