combo,segment,n,alpha_daily,beta,p_alpha,p_beta,r2,corr
7.5%×5R,全样本,2709,0.002076896807529095,-0.06816930871759379,3.45605869588488e-05,0.14709522420222473,0.0007763909635924993,-0.027863793058244712
7.5%×5R,只看多日,1376,0.00059764774306683,0.8030784164348601,0.3610095140820645,5.103599002734843e-35,0.10504225209576612,0.3241022247621359
7.5%×5R,只看空日,1333,0.0004340503510078924,-0.8586393411257508,0.5365116332528221,1.5390271604070625e-38,0.11898131719650262,-0.34493668577943787
7.5%×3R,全样本,2709,0.001939282733592984,-0.06385590860226291,6.452099515683256e-05,0.16053770893612582,0.0007273000496665905,-0.026968501064515076
7.5%×3R,只看多日,1376,0.0004490668482568661,0.7587292384388693,0.47865899888532903,1.8188992239596773e-33,0.10040413024819028,0.3168661077619223
7.5%×3R,只看空日,1333,0.0004890161141853915,-0.8071568294171633,0.4742320999849188,3.2030324934582416e-36,0.11192632943479186,-0.3345539260489883
