stop,be,n_pos,med_annual,worst_annual,med_sharpe,worst_mdd
0.05,5.0,5,0.5839310759994336,-0.024144324897760305,1.1748219164267049,-0.4281958069126278
0.05,8.0,6,0.6627209404170373,0.05824900773997799,1.1301786248306442,-0.39103402917177643
0.05,,6,0.6477283199627304,0.033599379352820646,1.2322577759514088,-0.4009029685605256
0.075,5.0,6,0.6487721998378668,0.15992476499018893,1.423252507376718,-0.2621714901425998
0.075,8.0,6,0.6509984868359222,0.16269164499269628,1.4218614740175828,-0.26241535752979417
0.075,,6,0.5830265636804466,0.21865645774783826,1.3453469198958612,-0.26241535752979417
0.1,5.0,6,0.49938906494142454,0.06382121845156563,1.535269990110925,-0.1973755312468052
0.1,8.0,6,0.49241562790814575,0.14096281055555981,1.5184983332101987,-0.19653209443138264
0.1,,6,0.49033366657110666,0.12773585849653202,1.5184983332101987,-0.2005982479306902
