stop_frac,be_r,risk_per_trade,annual,mdd,calmar,sharpe,sortino,winrate,pf,n_trades,n_be_moves,n_stopped,n_be_exits,n_eod,n_capped,n_cant_afford,final_equity
0.03,1.0,0.007,0.2166811011834593,-0.7231743654447,0.29962497502274715,0.5796147552308687,3.2384654992314523,0.05352528608342562,1.0858781652087524,2709,780,1929,635,145,0,0,2022053.0
0.03,12.0,0.007,0.36199683186721376,-0.745436727859151,0.48561711321475487,0.7364290658080981,3.978214028473897,0.07345884090070137,1.1123083301886425,2709,271,2412,97,200,0,0,6730536.0
0.1,5.0,0.007,0.44189777075891157,-0.3750099041280406,1.1783629336041037,1.2164003299346338,4.0635011300946395,0.19010705057216684,1.2657993612108938,2709,484,2081,96,532,0,0,12357642.0
0.03,2.0,0.007,0.2602803123266537,-0.7262571764543128,0.3583858731660015,0.6304207848135224,3.5291883846892564,0.056109265411590996,1.0958846605978734,2709,741,1968,589,152,0,0,2942825.0
0.03,,0.007,0.33356553021951907,-0.7433639533508999,0.4487243815305929,0.7069671741234219,3.7835712005457576,0.07493540051679587,1.0917456478590342,2709,0,2505,0,204,0,0,5375263.0
0.1,8.0,0.007,0.44051212607528356,-0.3817998499987637,1.153777630024501,1.2080794570890268,4.005546634972775,0.19748984865263935,1.2650217515680244,2709,232,2139,17,553,0,0,12231653.0
0.03,3.0,0.007,0.31275697698045546,-0.6751159395951479,0.4632640982643794,0.6878882566311022,3.853246166727888,0.06016980435585087,1.1024077770612148,2709,658,2048,498,163,0,0,4545715.0
0.1,1.0,0.007,0.31664375172636183,-0.3754569494620789,0.8433556821361827,1.0714899936770788,3.78504177758004,0.12181616832779624,1.2572300213146212,2709,1401,1287,1083,339,0,0,4691234.0
0.1,12.0,0.007,0.4254524241549702,-0.3779838844825644,1.1255835013637874,1.1782187679146308,3.895819840471144,0.19785898855666298,1.2540409893110507,2709,73,2153,2,554,0,0,10935482.0
0.03,5.0,0.007,0.38921866469225286,-0.7102068039309988,0.5480356743105322,0.7647363943510088,4.255223702759014,0.06607604282022887,1.1170328636572773,2709,516,2186,344,179,0,0,8311011.0
0.1,2.0,0.007,0.38678515405448755,-0.38851116409606834,0.9955573733753659,1.1660682508077698,4.0126804397776645,0.15023994093761536,1.280282022241228,2709,987,1691,600,418,0,0,8157146.0
0.1,,0.007,0.42518962796822835,-0.3779838844825644,1.1248882437151666,1.177737966470823,3.893601110288743,0.19785898855666298,1.2547313593078424,2709,0,2155,0,554,0,0,10914013.0
0.03,8.0,0.007,0.4230985032439043,-0.7465152895575696,0.5667646854154296,0.796683273030398,4.373852248726145,0.07124400147655961,1.1366241699193964,2709,393,2303,213,193,0,0,10744536.0
0.1,3.0,0.007,0.3950368466649572,-0.3856811188719333,1.0242576764462523,1.1634674606386943,3.8921858530992086,0.17091177556293835,1.2785842085469812,2709,764,1896,338,475,0,0,8689598.0
